,Gender,Age Range,Head Size(cm^3),Brain Weight(grams),predictions
0,1,1,4512,1530,1588.7445642875418
1,1,1,3738,1297,1316.2072837269616
2,1,1,4261,1335,1500.363611547612
3,1,1,3777,1282,1329.939782359859
4,1,1,4177,1590,1470.7859221844483
5,1,1,3585,1300,1262.3336352440563
6,1,1,3785,1400,1332.7567051563508
7,1,1,3559,1255,1253.178636155458
8,1,1,3613,1355,1272.1928650317775
9,1,1,3982,1375,1402.1234290199611
10,1,1,3443,1340,1212.333255606327
11,1,1,3993,1380,1405.9966978651373
12,1,1,3640,1355,1281.6999794699373
13,1,1,4208,1522,1481.701498020854
14,1,1,3832,1208,1349.30612658574
15,1,1,3876,1405,1364.7992019664448
16,1,1,3497,1358,1231.3474844826465
17,1,1,3466,1292,1220.4319086462408
18,1,1,3095,1340,1089.7971139589342
19,1,1,4424,1400,1557.7584135261322
20,1,1,3878,1357,1365.5034326655677
21,1,1,4046,1287,1424.6588113918954
22,1,1,3804,1275,1339.4468967980188
23,1,1,3710,1270,1306.3480539392403
24,1,1,4747,1635,1671.4916714344881
25,1,1,4423,1505,1557.4062981765708
26,1,1,4036,1490,1421.1376578962806
27,1,1,4022,1485,1416.20804300242
28,1,1,3454,1310,1216.2065244515031
29,1,1,4175,1420,1470.0816914853253
30,1,1,3787,1318,1333.4609358554737
31,1,1,3796,1432,1336.629974001527
32,1,1,4103,1364,1444.7293863168993
33,1,1,4161,1405,1465.1520765914647
34,1,1,4158,1432,1464.0957305427803
35,1,1,3814,1207,1342.9680502936335
36,1,1,3527,1375,1241.9109449694906
37,1,1,3748,1350,1319.7284372225763
38,1,1,3334,1236,1173.9526825041264
39,1,1,3492,1250,1229.586907734839
40,1,1,3962,1350,1395.0811220287317
41,1,1,3505,1320,1234.1644072791382
42,1,1,4315,1525,1519.3778404239317
43,1,1,3804,1570,1339.4468967980188
44,1,1,3863,1340,1360.2217024221457
45,1,1,4034,1422,1420.4334271971577
46,1,1,4308,1506,1516.9130329770014
47,1,1,3165,1215,1114.4451884282373
48,1,1,3641,1311,1282.0520948194987
49,1,1,3644,1300,1283.1084408681832
