,Gender,Age Range,Head Size(cm^3),Brain Weight(grams),predictions
0,1,1,4512,1530,1507.0707355438672
1,1,1,3738,1297,1313.6943622005833
2,1,1,4261,1335,1444.3608263589003
3,1,1,3777,1282,1323.4381329504388
4,1,1,4177,1590,1423.374243205366
5,1,1,3585,1300,1275.468800028074
6,1,1,3785,1400,1325.4368551555372
7,1,1,3559,1255,1268.9729528615035
8,1,1,3613,1355,1282.4643277459186
9,1,1,3982,1375,1374.6553894560889
10,1,1,3443,1340,1239.9914808875747
11,1,1,3993,1380,1377.4036324880994
12,1,1,3640,1355,1289.2100151881264
13,1,1,4208,1522,1431.1192917501226
14,1,1,3832,1208,1337.1793481104912
15,1,1,3876,1405,1348.1723202385333
16,1,1,3497,1358,1253.4828557719898
17,1,1,3466,1292,1245.7378072272331
18,1,1,3095,1340,1153.0470649657882
19,1,1,4424,1400,1485.084791287783
20,1,1,3878,1357,1348.672000789808
21,1,1,4046,1287,1390.6451670968772
22,1,1,3804,1275,1330.1838203926463
23,1,1,3710,1270,1306.6988344827384
24,1,1,4747,1635,1565.7832003186368
25,1,1,4423,1505,1484.8349510121457
26,1,1,4036,1490,1388.146764340504
27,1,1,4022,1485,1384.6490004815814
28,1,1,3454,1310,1242.7397239195852
29,1,1,4175,1420,1422.8745626540913
30,1,1,3787,1318,1325.9365357068118
31,1,1,3796,1432,1328.1850981875477
32,1,1,4103,1364,1404.8860628082043
33,1,1,4161,1405,1419.3767987951687
34,1,1,4158,1432,1418.6272779682567
35,1,1,3814,1207,1332.6822231490196
36,1,1,3527,1375,1260.9780640411095
37,1,1,3748,1350,1316.1927649569566
38,1,1,3334,1236,1212.758890843107
39,1,1,3492,1250,1252.2336543938031
40,1,1,3962,1350,1369.6585839433424
41,1,1,3505,1320,1255.4815779770884
42,1,1,4315,1525,1457.8522012433154
43,1,1,3804,1570,1330.1838203926463
44,1,1,3863,1340,1344.924396655248
45,1,1,4034,1422,1387.6470837892293
46,1,1,4308,1506,1456.1033193138542
47,1,1,3165,1215,1170.5358842604005
